season,playerId,class,onResearch,eligibilityStatus
2025-26,1631255,valid_value,YES,eligible
2025-26,1630200,valid_value,YES,eligible
2025-26,1628379,valid_value,YES,eligible
2025-26,1630568,valid_value,YES,eligible
2025-26,1642066,valid_value,YES,eligible
2025-26,1630532,valid_value,YES,eligible
2025-26,1641750,valid_value,YES,eligible
2025-26,1627780,valid_value,YES,eligible
2025-26,1629638,valid_value,YES,eligible
2025-26,1628963,valid_value,YES,eligible
2025-26,1642967,valid_value,YES,eligible
2025-26,203501,valid_value,YES,eligible
2025-26,1630551,valid_value,YES,eligible
2025-26,1630249,valid_value,YES,eligible
2025-26,202331,valid_value,YES,eligible
2025-26,1642276,valid_value,YES,eligible
2025-26,1629013,valid_value,YES,eligible
2025-26,202699,valid_value,YES,eligible
2025-26,203932,valid_value,YES,eligible
2025-26,1629012,valid_value,YES,eligible
2025-26,1631103,valid_value,YES,eligible
2025-26,1629048,valid_value,YES,eligible
2025-26,1629639,valid_value,YES,eligible
2025-26,203924,valid_value,YES,eligible
2025-26,1630573,valid_value,YES,eligible
2025-26,1630167,valid_value,YES,eligible
2025-26,1641783,valid_value,YES,eligible
2025-26,1628991,valid_value,YES,eligible
2025-26,1630577,valid_value,YES,eligible
2025-26,1627750,valid_value,YES,eligible
2025-26,1642263,valid_value,YES,eligible
2025-26,1629130,valid_value,YES,eligible
2025-26,1630180,valid_value,YES,eligible
2025-26,1630549,valid_value,YES,eligible
2025-26,1641717,valid_value,YES,eligible
2025-26,1630639,valid_value,YES,eligible
2025-26,1627936,valid_value,YES,eligible
2025-26,1630202,valid_value,YES,eligible
2025-26,1630538,valid_value,YES,eligible
2025-26,1629660,valid_value,YES,eligible
2025-26,1629004,valid_value,YES,eligible
2025-26,1631165,valid_value,YES,eligible
2025-26,1631117,valid_value,YES,eligible
2025-26,1628973,valid_value,YES,eligible
2025-26,1629726,valid_value,YES,eligible
2025-26,1628436,valid_value,YES,eligible
2025-26,1630230,valid_value,YES,eligible
2025-26,1628969,valid_value,YES,eligible
2025-26,1642854,valid_value,YES,eligible
2025-26,1628381,valid_value,YES,eligible
2025-26,1642955,valid_value,YES,eligible
2025-26,1641744,valid_value,YES,eligible
2025-26,1629723,valid_value,YES,eligible
2025-26,1641706,valid_value,YES,eligible
2025-26,1631323,valid_value,YES,eligible
2025-26,203648,valid_value,YES,eligible
2025-26,1642357,valid_value,YES,eligible
2025-26,1629610,valid_value,YES,eligible
2025-26,1641765,valid_value,YES,eligible
2025-26,1628960,valid_value,YES,eligible
2025-26,1629661,valid_value,YES,eligible
2025-26,1630695,valid_value,YES,eligible
